airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:5016,5016,PM,Tropic Air,Belize,Y,False,False,False,False,14,14,0,8,8,0,3,3,0,0.428571428571429,0.428571428571429,0,0.23469387755102,0.23469387755102,0,4.26086956521739,4.26086956521739,0
id:12978,12978,PN,West Air China,China,Y,True,True,False,True,90,90,0,35,35,0,1,1,0,0.311111111111111,0.311111111111111,0,0.12320987654321,0.12320987654321,0,8.11623246492986,8.11623246492986,0
id:14061,14061,PQ,LSM Airlines,Russia,Y,False,False,False,False,6,6,0,4,4,0,1,1,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0,3,3,0
id:3834,3834,PV,PAN Air,Spain,Y,False,False,False,False,6,6,0,4,4,0,4,4,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0,3,3,0
id:4031,4031,PW,Precision Air,Tanzania,Y,True,False,False,False,31,31,0,11,11,0,4,4,0,0.290322580645161,0.290322580645161,0,0.157127991675338,0.157127991675338,0,6.36423841059603,6.36423841059603,0
id:328,328,PX,Air Niugini,Papua New Guinea,Y,True,True,False,True,91,91,0,34,34,0,9,9,0,0.340659340659341,0.340659340659341,0,0.13512860765608,0.13512860765608,0,7.40035746201966,7.40035746201966,0
id:4752,4752,PY,Surinam Airways,Suriname,Y,True,False,False,False,20,20,0,9,9,0,9,9,0,0.3,0.3,0,0.155,0.155,0,6.45161290322581,6.45161290322581,0
id:5156,5156,PZ,TAM Mercosur,Paraguay,Y,False,False,False,False,18,18,0,8,8,0,6,6,0,0.277777777777778,0.277777777777778,0,0.179012345679012,0.179012345679012,0,5.58620689655172,5.58620689655172,0
id:13108,13108,Q2,Maldivian,Maldives,Y,True,False,False,False,28,28,0,11,11,0,4,4,0,0.285714285714286,0.285714285714286,0,0.135204081632653,0.135204081632653,0,7.39622641509434,7.39622641509434,0
id:18700,18700,Q3,SOCHI AIR CHATER,Russia,Y,False,False,False,False,2,2,0,2,2,0,2,2,0,0.5,0.5,0,0.5,0.5,0,2,2,0
id:10,10,Q5,40-Mile Air,United States,Y,False,False,False,False,2,2,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,2,2,0
id:753,753,Q6,Aero Condor Peru,Peru,Y,True,True,False,True,58,58,0,26,26,0,1,1,0,0.155172413793103,0.155172413793103,0,0.0564803804994055,0.0564803804994055,0,17.7052631578947,17.7052631578947,0
id:20686,20686,Q7,SkyBahamas Airlines,Bahamas,Y,False,False,False,False,10,10,0,6,6,0,2,2,0,0.4,0.4,0,0.24,0.24,0,4.16666666666667,4.16666666666667,0
id:3857,3857,Q8,Pacific East Asia Cargo Airlines,Philippines,Y,False,False,False,False,14,14,0,5,5,0,4,4,0,0.285714285714286,0.285714285714286,0,0.224489795918367,0.224489795918367,0,4.45454545454546,4.45454545454546,0
id:11838,11838,Q9,Arik Niger,Niger,Y,True,False,False,False,20,20,0,8,8,0,1,1,0,0.3,0.3,0,0.165,0.165,0,6.06060606060606,6.06060606060606,0
id:2541,2541,QB,Georgian National Airlines,Georgia,Y,False,False,False,False,4,4,0,3,3,0,1,1,0,0.5,0.5,0,0.375,0.375,0,2.66666666666667,2.66666666666667,0
id:16415,16415,QC,Camair-co,Cameroon,Y,True,False,False,False,25,25,0,13,13,0,9,9,0,0.32,0.32,0,0.1488,0.1488,0,6.72043010752688,6.72043010752688,0
id:19305,19305,QG,Citilink Indonesia,Indonesia,Y,True,True,False,True,58,58,0,21,21,0,2,2,0,0.224137931034483,0.224137931034483,0,0.108799048751486,0.108799048751486,0,9.19125683060109,9.19125683060109,0
id:882,882,QH,Air Florida,United States,Y,True,False,False,False,34,34,0,12,12,0,5,5,0,0.294117647058824,0.294117647058824,0,0.166089965397924,0.166089965397924,0,6.02083333333333,6.02083333333333,0
id:1206,1206,QL,Aero Lanka,Sri Lanka,Y,False,False,False,False,14,14,0,8,8,0,2,2,0,0.428571428571429,0.428571428571429,0,0.23469387755102,0.23469387755102,0,4.26086956521739,4.26086956521739,0
id:426,426,QN,Air Armenia,Armenia,N,False,False,False,False,16,16,0,9,9,0,4,4,0,0.5,0.5,0,0.28125,0.28125,0,3.55555555555556,3.55555555555556,0
id:5097,5097,QS,Travel Service,Czech Republic,Y,True,True,False,True,67,67,0,34,34,0,20,20,0,0.492537313432836,0.492537313432836,0,0.251058142125195,0.251058142125195,0,3.98314108251996,3.98314108251996,0
id:2104,2104,QU,East African,Uganda,Y,False,False,False,False,4,4,0,3,3,0,2,2,0,0.5,0.5,0,0.375,0.375,0,2.66666666666667,2.66666666666667,0
id:2857,2857,QZ,Indonesia AirAsia,Indonesia,Y,True,True,False,True,62,62,0,17,17,0,5,5,0,0.161290322580645,0.161290322580645,0,0.100416233090531,0.100416233090531,0,9.95854922279793,9.95854922279793,0
id:3805,3805,R2,Orenburg Airlines,Russia,Y,False,False,False,False,9,9,0,6,6,0,2,2,0,0.444444444444444,0.444444444444444,0,0.283950617283951,0.283950617283951,0,3.52173913043478,3.52173913043478,0
id:1287,1287,R3,Aircompany Yakutia,Russia,Y,True,True,False,True,73,73,0,35,35,0,9,9,0,0.219178082191781,0.219178082191781,0,0.0951398010883843,0.0951398010883843,0,10.5108481262327,10.5108481262327,0
id:622,622,R7,Aserca Airlines,Venezuela,Y,True,False,False,False,26,26,0,11,11,0,2,2,0,0.346153846153846,0.346153846153846,0,0.171597633136095,0.171597633136095,0,5.82758620689655,5.82758620689655,0
id:3637,3637,RA,Nepal Airlines,Nepal,Y,False,False,False,False,8,8,0,5,5,0,5,5,0,0.5,0.5,0,0.3125,0.3125,0,3.2,3.2,0
id:881,881,RC,Atlantic Airways,Faroe Islands,Y,False,False,False,False,9,9,0,5,5,0,3,3,0,0.444444444444444,0.444444444444444,0,0.283950617283951,0.283950617283951,0,3.52173913043478,3.52173913043478,0
