airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,directed_route_presences,distinct_origin_airports,distinct_destination_airports,distinct_airports,distinct_countries,domestic_route_presence_share,international_route_presence_share,reciprocal_route_share,codeshare_route_presence_share
id:1925,1925,OU,Croatia Airlines,Croatia,Y,True,True,True,True,102,30,30,30,16,0.215686274509804,0.784313725490196,0.96078431372549,0.0892857142857143
id:10646,10646,VB,Birmingham European,United Kingdom,N,True,True,True,True,102,26,26,26,2,0.980392156862745,0.0196078431372549,1,0
id:3754,3754,XY,Nas Air,Saudi Arabia,Y,True,True,True,True,102,29,29,29,12,0.274509803921569,0.725490196078431,1,0.0727272727272727
id:1946,1946,OK,Czech Airlines,Czech Republic,Y,True,True,True,True,101,49,48,49,24,0.099009900990099,0.900990099009901,0.99009900990099,0.0900900900900901
id:3463,3463,IG,Meridiana,Italy,Y,True,True,True,True,100,31,32,33,17,0.41,0.59,0.92,0.421965317919075
id:4573,4573,XQ,SunExpress,Turkey,Y,True,True,False,True,99,35,35,35,9,0.191919191919192,0.808080808080808,0.98989898989899,0
id:10741,10741,KN,China United,China,Y,True,True,False,True,98,48,48,48,1,1,0,1,0
id:3210,3210,LO,LOT Polish Airlines,Poland,Y,True,True,False,True,96,49,49,49,33,0.125,0.875,1,0.2
id:2547,2547,ST,Germania,Germany,Y,True,True,False,True,96,41,41,41,15,0.0416666666666667,0.958333333333333,1,0
id:692,692,VT,Air Tahiti,French Polynesia,Y,True,True,False,True,93,28,28,28,2,0.978494623655914,0.021505376344086,0.860215053763441,0
id:4947,4947,FD,Thai AirAsia,Thailand,Y,True,True,False,True,92,37,37,37,11,0.391304347826087,0.608695652173913,1,0
id:2056,2056,KA,Dragonair,DRAGON,Y,True,True,False,True,92,47,47,47,16,0,1,1,0.0416666666666667
id:3778,3778,WY,Oman Air,Oman,Y,True,True,False,True,92,45,45,45,27,0.0543478260869565,0.945652173913043,0.956521739130435,0.0416666666666667
id:5496,5496,IY,Yemenia,Yemen,Y,True,True,False,True,91,27,26,27,19,0.131868131868132,0.868131868131868,0.923076923076923,0.0520833333333333
id:4750,4750,MI,SilkAir,Singapore,Y,True,True,False,True,91,44,44,44,13,0.032967032967033,0.967032967032967,0.989010989010989,0
id:328,328,PX,Air Niugini,Papua New Guinea,Y,True,True,False,True,91,34,33,34,9,0.714285714285714,0.285714285714286,0.967032967032967,0
id:4305,4305,SA,South African Airways,South Africa,Y,True,True,False,True,91,45,44,45,31,0.197802197802198,0.802197802197802,0.989010989010989,0.54950495049505
id:15837,15837,G5,Huaxia,China,Y,True,True,False,True,90,38,38,38,1,1,0,1,0
id:5038,5038,GE,TransAsia Airways,Taiwan,Y,True,True,False,True,90,34,34,34,8,0.155555555555556,0.844444444444444,1,0.0217391304347826
id:524,524,NF,Air Vanuatu,Vanuatu,Y,True,True,False,True,90,31,31,31,4,0.888888888888889,0.111111111111111,0.977777777777778,0.0217391304347826
id:12978,12978,PN,West Air China,China,Y,True,True,False,True,90,35,35,35,1,1,0,1,0
id:2684,2684,HQ,Harmony Airways,Canada,N,True,True,False,True,88,39,39,39,12,0.0909090909090909,0.909090909090909,0.75,0
id:4178,4178,ZL,Regional Express,Australia,Y,True,True,False,True,88,35,35,35,1,1,0,1,0
id:5179,5179,RO,Tarom,Romania,Y,True,True,False,True,86,40,39,40,25,0.162790697674419,0.837209302325581,0.976744186046512,0.0652173913043478
id:1629,1629,9K,Cape Air,United States,Y,True,True,False,True,84,39,39,39,6,0.80952380952381,0.19047619047619,0.976190476190476,0.0232558139534884
id:1478,1478,B2,Belavia Belarusian Airlines,Belarus,Y,True,True,False,True,80,41,41,41,29,0,1,1,0.024390243902439
id:242,242,KM,Air Malta,Malta,Y,True,True,False,True,80,40,40,40,17,0,1,1,0.0476190476190476
