airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,top1_origin_share,top3_origin_share,origin_airport_hhi,effective_hubs,distinct_origin_airports
id:4429,4429,SP,SATA Air Acores,Portugal,Y,True,False,False,False,0.214285714285714,0.571428571428571,0.150510204081633,6.64406779661017,9
id:14118,14118,GK,Genesis,Pakistan,Y,True,False,False,False,0.285714285714286,0.535714285714286,0.150510204081633,6.64406779661017,10
id:1359,1359,BG,Biman Bangladesh Airlines,Bangladesh,Y,True,False,False,False,0.347826086956522,0.5,0.149338374291115,6.69620253164557,22
id:1539,1539,NT,Binter Canarias,Spain,Y,True,False,False,False,0.266666666666667,0.566666666666667,0.148888888888889,6.71641791044776,10
id:16415,16415,QC,Camair-co,Cameroon,Y,True,False,False,False,0.32,0.52,0.1488,6.72043010752688,13
id:4475,4475,DG,South East Asian Airlines,Philippines,Y,True,False,False,False,0.272727272727273,0.590909090909091,0.148760330578512,6.72222222222222,11
id:3734,3734,J3,Northwestern Air,Canada,Y,False,False,False,False,0.222222222222222,0.555555555555555,0.148148148148148,6.75,8
id:5133,5133,DT,TAAG Angola Airlines,Angola,Y,True,True,False,True,0.352112676056338,0.47887323943662,0.145804403888117,6.85850340136054,28
id:18944,18944,7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,Y,True,False,False,False,0.333333333333333,0.511111111111111,0.145679012345679,6.86440677966102,18
id:17885,17885,4O,Interjet (ABC Aerolineas),Mexico,Y,True,True,True,True,0.357142857142857,0.482142857142857,0.145408163265306,6.87719298245614,43
id:3935,3935,KS,Peninsula Airways,United States,Y,True,False,False,False,0.321428571428571,0.5,0.145408163265306,6.87719298245614,14
id:18732,18732,OD,Malindo Air,Malaysia,Y,True,False,False,False,0.326086956521739,0.543478260869565,0.14461247637051,6.91503267973856,21
id:14485,14485,FZ,Fly Dubai,United Arab Emirates,Y,True,True,True,True,0.335616438356164,0.513698630136986,0.144023268905986,6.94332247557003,65
id:970,970,W9,Air Bagan,Myanmar,Y,True,False,False,False,0.275862068965517,0.517241379310345,0.143876337693222,6.9504132231405,11
id:18529,18529,TJ,T.J. Air,United States,Y,False,False,False,False,0.214285714285714,0.571428571428571,0.142857142857143,7,9
id:5331,5331,VX,Virgin America,United States,Y,True,True,False,True,0.287878787878788,0.545454545454545,0.142791551882461,7.0032154340836,21
id:4797,4797,IE,Solomon Airlines,Solomon Islands,Y,True,True,False,True,0.333333333333333,0.481481481481481,0.142661179698217,7.00961538461539,19
id:837,837,EI,Aer Lingus,Ireland,Y,True,True,True,True,0.36046511627907,0.465116279069767,0.142644672796106,7.01042654028436,67
id:13704,13704,KY,KSY,Greece,Y,True,True,False,True,0.34,0.48,0.1424,7.02247191011236,21
id:567,567,TX,Air Caraïbes,France,Y,True,False,False,False,0.217391304347826,0.565217391304348,0.141776937618147,7.05333333333334,10
id:10122,10122,SZ,Salzburg arrows,Austria,Y,True,False,False,False,0.270833333333333,0.541666666666667,0.141493055555556,7.06748466257669,20
id:5041,5041,VR,TACV,Portugal,Y,True,False,False,False,0.263157894736842,0.552631578947368,0.141274238227147,7.07843137254902,13
id:1954,1954,DX,DAT Danish Air Transport,Denmark,Y,False,False,False,False,0.1875,0.5625,0.140625,7.11111111111111,9
id:3661,3661,HG,Niki,Austria,Y,True,True,True,True,0.351351351351351,0.477477477477477,0.140491843194546,7.11785095320624,46
id:2058,2058,KB,Druk Air,Bhutan,Y,True,False,False,False,0.25,0.5,0.14,7.14285714285714,9
id:10675,10675,SH,Sharp Airlines,Australia,Y,False,False,False,False,0.2,0.5,0.14,7.14285714285714,8
id:4304,4304,S4,SATA International,Portugal,Y,True,False,False,False,0.257142857142857,0.571428571428571,0.139591836734694,7.16374269005848,14
id:3126,3126,KQ,Kenya Airways,Kenya,Y,True,True,True,True,0.36,0.424,0.139328,7.1773082223243,53
id:2143,2143,MS,Egyptair,Egypt,Y,True,True,True,True,0.358974358974359,0.441025641025641,0.138145956607495,7.23872073101085,80
id:4937,4937,TT,Tiger Airways Australia,Australia,Y,True,False,False,False,0.238095238095238,0.571428571428571,0.13718820861678,7.28925619834711,14
id:20004,20004,9V,Volotea Costa Rica,Costa Rica,Y,True,False,False,False,0.258064516129032,0.548387096774194,0.136316337148803,7.33587786259542,13
id:3258,3258,LN,Libyan Arab Airlines,Libya,Y,True,True,False,True,0.306451612903226,0.532258064516129,0.136316337148803,7.33587786259542,20
id:1403,1403,UP,Bahamasair,Bahamas,Y,True,True,False,True,0.327586206896552,0.482758620689655,0.13614744351962,7.34497816593886,26
id:2117,2117,T3,Eastern Airways,United Kingdom,Y,True,False,False,False,0.3,0.5,0.135555555555556,7.37704918032787,15
id:13108,13108,Q2,Maldivian,Maldives,Y,True,False,False,False,0.285714285714286,0.464285714285714,0.135204081632653,7.39622641509434,11
id:328,328,PX,Air Niugini,Papua New Guinea,Y,True,True,False,True,0.340659340659341,0.450549450549451,0.13512860765608,7.40035746201966,34
id:3233,3233,QV,Lao Airlines,Lao Peoples Democratic Republic,Y,True,False,False,False,0.285714285714286,0.547619047619048,0.134920634920635,7.41176470588235,17
id:543,543,B9,Air Bangladesh,Bangladesh,Y,True,False,False,False,0.272727272727273,0.545454545454545,0.134297520661157,7.44615384615385,14
id:1355,1355,BA,British Airways,United Kingdom,Y,True,True,True,True,0.345945945945946,0.467567567567568,0.133937180423667,7.46618673647469,174
id:2994,2994,7C,Jeju Air,Republic of Korea,Y,True,False,False,False,0.303030303030303,0.484848484848485,0.133149678604224,7.51034482758621,15
id:153,153,SW,Air Namibia,Namibia,Y,True,False,False,False,0.314285714285714,0.457142857142857,0.133061224489796,7.51533742331288,17
id:17094,17094,DN,Senegal Airlines,Senegal,Y,True,False,False,False,0.28125,0.53125,0.1328125,7.52941176470588,15
id:2353,2353,FY,Firefly,Malaysia,Y,True,False,False,False,0.275,0.525,0.1325,7.54716981132075,16
