airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:4349,4349,UL,SriLankan Airlines,Sri Lanka,Y,True,True,False,True,3198.4681996066,2749.71359348122,7041.25545112062,79,0,0.10126582278481,0.89873417721519,22,22,22
id:321,321,AM,AeroMéxico,Mexico,Y,True,True,True,True,2350.63291595785,1626.57629119837,6596.58249200927,161,0,0.484472049689441,0.515527950310559,21,21,21
id:2091,2091,BR,EVA Air,Taiwan,Y,True,True,True,True,3618.22739766794,2208.06440065066,9756.8322642581,102,0,0,1,21,21,21
id:8745,8745,TO,Transavia France,France,Y,True,True,True,True,2416.66434879903,2275.95612566664,3345.92441877791,488,0,0.00614754098360656,0.993852459016393,21,21,21
id:5039,5039,HV,Transavia Holland,Netherlands,Y,True,True,True,True,1716.52626088964,1804.46075811553,2684.57703747475,233,0,0.0815450643776824,0.918454935622318,20,20,20
id:1006,1006,KC,Air Astana,Kazakhstan,Y,True,True,True,True,2129.39205706374,1894.03888653999,4142.79336752708,116,0,0.327586206896552,0.672413793103448,20,20,20
id:3329,3329,LG,Luxair,Luxembourg,Y,True,True,True,True,1384.66135667091,1194.92299109444,2670.55599827174,108,0,0.0925925925925926,0.907407407407407,20,20,20
id:5097,5097,QS,Travel Service,Czech Republic,Y,True,True,False,True,1175.11104909051,852.37218858103,2634.62716788095,67,0,0.0298507462686567,0.970149253731343,20,20,20
id:5496,5496,IY,Yemenia,Yemen,Y,True,True,False,True,1615.85297298013,1331.18907629379,2566.52370384988,91,0,0.131868131868132,0.868131868131868,19,19,18
id:3952,3952,PR,Philippine Airlines,Philippines,Y,True,True,True,True,2692.20714889647,1553.02777263894,7366.61888152392,136,0,0.455882352941176,0.544117647058824,19,19,19
